Species,CountryofOrigin,HarvestYear,GradingDate,Variety,ProcessingMethod,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints,Moisture,CategoryOneDefects,Quakers,Color,CategoryTwoDefects,Expiration,CertificationBody,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,Ethiopia,2014,"April 4th, 2015",,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,0,0,Green,0,"April 3rd, 2016",METAD Agricultural Development plc,m,1950,2200,2075
Arabica,Ethiopia,2014,"April 4th, 2015",Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,0,0,Green,1,"April 3rd, 2016",METAD Agricultural Development plc,m,1950,2200,2075
Arabica,Guatemala,,"May 31st, 2010",Bourbon,,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,0,0,,0,"May 31st, 2011",Specialty Coffee Association,m,1600,1800,1700
Arabica,Ethiopia,2014,"March 26th, 2015",,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,0,0,Green,2,"March 25th, 2016",METAD Agricultural Development plc,m,1800,2200,2000
Arabica,Ethiopia,2014,"April 4th, 2015",Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,0,0,Green,2,"April 3rd, 2016",METAD Agricultural Development plc,m,1950,2200,2075
Arabica,Brazil,2013,"September 3rd, 2013",,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,0,0,Bluish-Green,1,"September 3rd, 2014",Specialty Coffee Institute of Asia,m,NA,NA,NA
Arabica,Peru,2012,"September 17th, 2012",Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,0,0,Bluish-Green,0,"September 17th, 2013",Specialty Coffee Institute of Asia,m,NA,NA,NA
Arabica,Ethiopia,10-Mar,"September 2nd, 2010",,,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,0,0,,0,"September 2nd, 2011",Ethiopia Commodity Exchange,m,1570,1700,1635
Arabica,Ethiopia,10-Mar,"September 2nd, 2010",,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,0,0,,0,"September 2nd, 2011",Ethiopia Commodity Exchange,m,1570,1700,1635
Arabica,Ethiopia,2014,"March 30th, 2015",Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,0,0,Green,4,"March 29th, 2016",METAD Agricultural Development plc,m,1795,1850,1822.5
Arabica,Ethiopia,2014,"March 27th, 2015",,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,0,0,,1,"March 26th, 2016",METAD Agricultural Development plc,m,1855,1955,1905
