Species,CountryofOrigin,HarvestYear,GradingDate,ProcessingMethod,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Moisture,Color,Expiration,CertificationBody
Arabica,Ethiopia,2014,"April 4th, 2015",Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,0.12,Green,"April 3rd, 2016",METAD Agricultural Development plc
Arabica,Ethiopia,2014,"April 4th, 2015",Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,0.12,Green,"April 3rd, 2016",METAD Agricultural Development plc
Arabica,Guatemala,,"May 31st, 2010",,8.42,8.5,8.42,8.42,8.33,8.42,10,0,,"May 31st, 2011",Specialty Coffee Association
Arabica,Ethiopia,2014,"March 26th, 2015",Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,0.11,Green,"March 25th, 2016",METAD Agricultural Development plc
Arabica,Ethiopia,2014,"April 4th, 2015",Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,0.12,Green,"April 3rd, 2016",METAD Agricultural Development plc
Arabica,Brazil,2013,"September 3rd, 2013",Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,0.11,Bluish-Green,"September 3rd, 2014",Specialty Coffee Institute of Asia
Arabica,Peru,2012,"September 17th, 2012",Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,0.11,Bluish-Green,"September 17th, 2013",Specialty Coffee Institute of Asia
Arabica,Ethiopia,10-Mar,"September 2nd, 2010",,8.25,8.33,8.5,8.42,8.33,8.5,10,0.03,,"September 2nd, 2011",Ethiopia Commodity Exchange
Arabica,Ethiopia,10-Mar,"September 2nd, 2010",,8.67,8.67,8.58,8.42,8.33,8.42,9.33,0.03,,"September 2nd, 2011",Ethiopia Commodity Exchange
Arabica,Ethiopia,2014,"March 30th, 2015",Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,0.1,Green,"March 29th, 2016",METAD Agricultural Development plc
Arabica,Ethiopia,2014,"March 27th, 2015",Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,0.1,,"March 26th, 2016",METAD Agricultural Development plc
Arabica,United States,2014,"March 13th, 2015",Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,0,,"March 12th, 2016",Almacaf?
