시도,계약구분,고객호수,사용량,전기요금,평균판매단가
강원도,가로등,"114,445","17,690,707","1,991,821,006",112.6
강원도,교육용,"1,054","19,895,068","1,971,808,383",99.1
강원도,농사용,"102,941","58,307,832","2,945,414,698",50.5
강원도,산업용,"13,541","597,856,215","55,449,630,168",92.7
강원도,심 야,"91,051","73,658,079","4,028,105,854",54.7
강원도,일반용,"143,933","313,918,940","37,432,228,418",119.2
강원도,주택용,"590,071","161,591,995","15,959,527,700",98.8
강원도,합계,"1,057,036","1,242,918,836","119,778,536,227",96.4
경기도,가로등,"346,247","72,728,431","8,180,716,391",112.5
경기도,교육용,"4,458","95,389,327","9,444,119,463",99
경기도,농사용,"221,467","170,564,677","8,639,909,926",50.7
경기도,산업용,"127,724","5,344,592,154","516,519,287,541",96.6
경기도,심 야,"146,302","111,721,631","6,358,341,551",56.9
경기도,일반용,"668,205","2,003,793,824","234,661,737,756",117.1
경기도,주택용,"2,932,860","1,333,130,825","132,325,315,528",99.3
경기도,합계,"4,447,263","9,131,920,869","916,129,428,156",100.3
경상남도,가로등,"167,345","23,776,243","2,649,477,332",111.4
경상남도,교육용,"1,671","26,478,058","2,702,966,863",102.1
경상남도,농사용,"202,374","125,846,589","6,591,699,955",52.4
경상남도,산업용,"38,036","1,602,399,423","160,732,303,215",100.3
경상남도,심 야,"88,058","35,956,549","2,005,630,540",55.8
경상남도,일반용,"221,155","468,285,681","57,763,758,878",123.4
경상남도,주택용,"1,164,645","345,954,632","33,854,866,915",97.9
경상남도,합계,"1,883,284","2,628,697,175","266,300,703,698",101.3
경상북도,가로등,"191,254","26,652,081","2,927,130,585",109.8
경상북도,교육용,"1,487","43,318,620","3,856,786,164",89
경상북도,농사용,"346,153","155,102,682","7,911,664,996",51
경상북도,산업용,"32,384","2,674,997,181","239,623,207,497",89.6
경상북도,심 야,"76,754","49,729,948","2,724,141,595",54.8
경상북도,일반용,"214,056","388,923,844","47,162,346,483",121.3
경상북도,주택용,"1,152,344","273,410,640","26,226,442,143",95.9
경상북도,합계,"2,014,432","3,612,134,996","330,431,719,463",91.5
광주광역시,가로등,"45,668","6,628,412","744,410,314",112.3
광주광역시,교육용,644,"18,965,731","1,763,209,430",93
광주광역시,농사용,"11,215","4,369,472","240,118,500",55
광주광역시,산업용,"6,272","248,817,607","25,323,458,545",101.8
광주광역시,심 야,"6,588","3,788,742","238,927,131",63.1
광주광역시,일반용,"90,483","208,328,969","24,172,042,153",116
광주광역시,주택용,"383,415","153,227,733","14,560,967,240",95
광주광역시,합계,"544,285","644,126,666","67,043,133,313",104.1
대구광역시,가로등,"60,766","10,780,785","1,170,224,441",108.5
대구광역시,교육용,832,"21,730,784","2,048,629,374",94.3
대구광역시,농사용,"14,120","5,354,244","288,216,270",53.8
대구광역시,산업용,"20,815","522,218,517","52,713,089,336",100.9
대구광역시,심 야,"19,098","8,190,442","505,601,329",61.7
대구광역시,일반용,"152,387","320,054,326","38,105,434,859",119.1
대구광역시,주택용,"673,646","248,243,377","23,447,684,885",94.5
대구광역시,합계,"941,664","1,136,572,475","118,278,880,494",104.1
대전광역시,가로등,"37,275","7,318,851","803,863,008",109.8
