place,classfication,general,industry,customer,usage,charge,avgsellingprice,avgusage,avgcharge
Kangwon,streetlamp,not general,not industry,"114,445","17,690,707","1,991,821,006",112.6,154.5782428,17404.17673
Kangwon,education,not general,not industry,"1,054","19,895,068","1,971,808,383",99.1,18875.77609,1870785.942
Kangwon,farming,not general,not industry,"102,941","58,307,832","2,945,414,698",50.5,566.4199104,28612.64897
Kangwon,industry,not general,industry,"13,541","597,856,215","55,449,630,168",92.7,44151.55565,4094943.517
Kangwon,night,not general,not industry,"91,051","73,658,079","4,028,105,854",54.7,808.9760574,44240.10559
Kangwon,general,general,not industry,"143,933","313,918,940","37,432,228,418",119.2,2181.007413,260067.0341
Kangwon,housing,not general,not industry,"590,071","161,591,995","15,959,527,700",98.8,273.8517822,27046.79217
Kyeongki,streetlamp,not general,not industry,"346,247","72,728,431","8,180,716,391",112.5,210.04783,23626.82244
Kyeongki,education,not general,not industry,"4,458","95,389,327","9,444,119,463",99,21397.3367,2118465.559
Kyeongki,farming,not general,not industry,"221,467","170,564,677","8,639,909,926",50.7,770.1584299,39012.17755
Kyeongki,industry,not general,industry,"127,724","5,344,592,154","516,519,287,541",96.6,41844.85417,4044026.867
Kyeongki,night,not general,not industry,"146,302","111,721,631","6,358,341,551",56.9,763.6370726,43460.38708
Kyeongki,general,general,not industry,"668,205","2,003,793,824","234,661,737,756",117.1,2998.771072,351182.2536
Kyeongki,housing,not general,not industry,"2,932,860","1,333,130,825","132,325,315,528",99.3,454.5497654,45118.18346
KyeongNam,streetlamp,not general,not industry,"167,345","23,776,243","2,649,477,332",111.4,142.0791957,15832.42602
KyeongNam,education,not general,not industry,"1,671","26,478,058","2,702,966,863",102.1,15845.63615,1617574.424
KyeongNam,farming,not general,not industry,"202,374","125,846,589","6,591,699,955",52.4,621.8515669,32571.87166
KyeongNam,industry,not general,industry,"38,036","1,602,399,423","160,732,303,215",100.3,42128.49466,4225794.069
KyeongNam,night,not general,not industry,"88,058","35,956,549","2,005,630,540",55.8,408.3280224,22776.24452
KyeongNam,general,general,not industry,"221,155","468,285,681","57,763,758,878",123.4,2117.45464,261191.2861
KyeongNam,housing,not general,not industry,"1,164,645","345,954,632","33,854,866,915",97.9,297.0472822,29068.82948
KyeongBuk,streetlamp,not general,not industry,"191,254","26,652,081","2,927,130,585",109.8,139.3543717,15304.93786
KyeongBuk,education,not general,not industry,"1,487","43,318,620","3,856,786,164",89,29131.55346,2593669.243
KyeongBuk,farming,not general,not industry,"346,153","155,102,682","7,911,664,996",51,448.07551,22855.97697
KyeongBuk,industry,not general,industry,"32,384","2,674,997,181","239,623,207,497",89.6,82602.43271,7399432.05
KyeongBuk,night,not general,not industry,"76,754","49,729,948","2,724,141,595",54.8,647.9134377,35491.85183
KyeongBuk,general,general,not industry,"214,056","388,923,844","47,162,346,483",121.3,1816.925683,220327.1409
KyeongBuk,housing,not general,not industry,"1,152,344","273,410,640","26,226,442,143",95.9,237.2647751,22759.21265
Kwangju,streetlamp,not general,not industry,"45,668","6,628,412","744,410,314",112.3,145.1434703,16300.47985
Kwangju,education,not general,not industry,644,"18,965,731","1,763,209,430",93,29449.89286,2737902.842
Kwangju,farming,not general,not industry,"11,215","4,369,472","240,118,500",55,389.60963,21410.47704
Kwangju,industry,not general,industry,"6,272","248,817,607","25,323,458,545",101.8,39671.17459,4037541.222
Kwangju,night,not general,not industry,"6,588","3,788,742","238,927,131",63.1,575.0974499,36267.02049
Kwangju,general,general,not industry,"90,483","208,328,969","24,172,042,153",116,2302.410055,267144.5703
Kwangju,housing,not general,not industry,"383,415","153,227,733","14,560,967,240",95,399.6393803,37977.04117
Daegu,streetlamp,not general,not industry,"60,766","10,780,785","1,170,224,441",108.5,177.414755,19257.88173
